26,14
22222222222222222222222222
21111111111111111111111112
21222122222212221222122212
21112111111112221111121112
21222122221211111222122212
21111122221111121222111112
21222111111122111111122212
21222111111142111111122212
21111122212111112222111112
21222122211111212222122212
21112111112221111111121112
21222122212221222222122212
21111111111111111111111112
22222222222222222222222222
70
100
21,10,0
21,7,2
19,4,3
21,3,4
18,2,6
19,8,8
14,2,10
10,2,14
6,0,20
4,3,22
3,6,24
4,10,26
7,11,28
10,10,30
7,8,32
8,5,34
13,6,36
16,11,38
18,13,40
5,13,42
0,8,44
25,3,46
25,10,48
16,0,814
