29,18
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~|YYYYYYYYYYYYYYYYY||~~~|||~
~~Y-----------------GGGG~~|||
~~Y-GGGGGGG-GGGGGGG---------H
~~Y--GGG||G-G|TT||G-GGG-Y~Y-H
~~~Y---G||G-F|TT||G-GTG-Y~Y-H
~~~|YY-G||G-G|||GGG-GGG-Y~Y-H
~~~~|Y-GGGG-G|GGG-----------H
~~~~~Y------GGG---GGGGGG~~Y-H
~~~~~~YY-YY-----GGT~~~~~~TY-H
~||~~~~~-~~GGG-GT~~~~GGTTTY-H
~|||~~~~-~~~TG-G~~~~~G-YYYY-H
~|TTTGG~-~~~~GG~~~~||G------H
~~TTG-YY-Y~~~~~~~|||TGHHHHHHH
~||TY-Y---G~~~~|||TTT||||||TT
~|||Y---G-G||~~||TTT||~~~~||T
~|~~~YYGGGT||~~~~||||~~~~~~||
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
70
100
42
21,12,2
24,13,4
25,11,6
28,11,8
26,8,10
26,6,12
28,4,14
24,4,16
22,2,18
20,4,20
18,6,22
20,6,24
22,6,26
24,5,28
22,4,30
20,2,32
18,3,34
15,1,36
12,3,38
10,1,40
7,3,42
4,1,44
2,3,46
3,5,48
5,6,50
7,7,52
7,9,54
9,13,56
8,15,58
5,16,60
4,14,62
6,14,64
10,14,66
7,13,68
9,9,70
10,7,72
12,8,74
13,10,76
15,10,78
14,8,80
16,7,82
18,8,84
0
